Country,Code,Overall LPI Score,lower bound score,upper bound score,Overall rank,lower bound rank,upper bound ranks,Highest performer,CustomsScore,CustomsRank,InfrastructureScore,InfrastructureRank,International ShipmentScore,International ShipmentRank,Logistics ServicesScore,Logistics ServicesRank,Ease of TrackingScore,Ease of TrackingRank,TimelinessScore,TimelinessRank,ID
Mauritius,MUS,2.51,2.22,2.81,115,73,148,48.5,2.25,128,2.5,91,2.63,109,2.48,110,2.34,133,2.88,110,480
Georgia,GEO,2.51,2.33,2.69,116,91,138,48.3,2.21,131,2.42,100,2.32,138,2.44,119,2.59,102,3.09,87,268
"Macedonia, FYR",MKD,2.5,2.28,2.71,117,86,143,48,2.35,116,2.5,92,2.38,132,2.51,105,2.46,121,2.81,118,807
Libya,LBY,2.5,2.28,2.72,118,86,143,47.9,2.41,104,2.29,119,2.29,140,2.29,131,2.85,78,2.85,114,434
Mali,MLI,2.5,2.22,2.77,119,79,148,47.9,2.08,141,2.2,129,2.8,82,2.2,142,2.7,91,2.9,106,466
Botswana,BWA,2.49,2.14,2.84,120,70,154,47.8,2.38,112,2.23,125,2.42,129,2.58,99,2.4,127,2.94,103,72
Bolivia,BOL,2.48,2.16,2.8,121,78,152,47.4,2.4,108,2.17,133,2.35,135,2.68,88,2.68,94,2.6,141,68
Guinea,GIN,2.46,2.24,2.69,122,91,146,46.9,2.34,119,2.1,141,2.47,125,2.35,124,2.41,126,3.1,86,324
Zambia,ZMB,2.46,2.1,2.82,123,73,154,46.9,2.54,86,2.31,115,2.13,152,2.47,114,2.47,120,2.91,105,894
Guyana,GUY,2.46,2.26,2.66,124,93,144,46.7,2.46,99,2.4,105,2.43,128,2.27,133,2.47,117,2.74,131,328
Azerbaijan,AZE,2.45,2.15,2.75,125,81,154,46.4,2.57,82,2.71,68,2.57,113,2.14,149,2.14,148,2.57,143,31
Papua New Guinea,PNG,2.43,2.15,2.71,126,86,154,45.8,2.4,107,2.23,127,2.47,126,2.47,115,2.27,141,2.73,135,598
Guinea-Bissau,GNB,2.43,2.05,2.81,127,77,158,45.7,2.43,101,2.29,121,2.29,141,2.57,101,2.29,139,2.71,136,624
Comoros,COM,2.4,2.15,2.65,128,96,153,44.9,2.58,81,2.3,117,2.51,119,2.26,134,2.37,128,2.37,154,174
Uzbekistan,UZB,2.39,2.13,2.66,129,94,154,44.7,1.8,157,2.01,148,2.23,145,2.37,122,2.87,77,3.08,88,860
Niger,NER,2.39,2.09,2.7,130,89,155,44.6,2.49,93,2.08,143,2.38,130,2.28,132,2.36,129,2.76,127,562
Lao PDR,LAO,2.39,2.1,2.68,131,92,154,44.5,2.45,100,2.21,128,2.5,120,2.31,129,2.2,146,2.65,137,418
Madagascar,MDG,2.38,2.13,2.64,132,98,154,44.3,2.06,144,2.15,136,2.38,133,2.33,127,2.29,138,3.07,89,450
Lesotho,LSO,2.37,2.04,2.71,133,87,158,44,2.22,129,2.35,110,2.48,122,2.23,137,2.35,132,2.6,139,426
Central African Republic,CAF,2.36,1.89,2.84,134,72,158,43.6,2.47,95,2.5,93,2.16,149,2.31,130,2.31,137,2.47,150,140
Mongolia,MNG,2.36,2.09,2.62,135,102,155,43.4,2.2,132,2.29,120,2.62,110,2.33,126,2.13,149,2.51,147,496
Equatorial Guinea,GNQ,2.35,1.98,2.73,136,85,158,43.4,2.35,118,2.11,139,2.11,153,2.2,143,2.53,110,2.86,112,226
Zimbabwe,ZWE,2.34,1.98,2.7,137,87,158,42.9,1.89,154,2.25,123,2.25,143,2.5,108,2.22,143,2.93,104,716
Tanzania,TZA,2.33,2.1,2.56,138,108,154,42.6,2.19,135,2.32,114,2.32,137,2.18,145,2.11,150,2.89,107,834
Togo,TGO,2.32,2.04,2.59,139,105,158,42.2,2.09,139,2.07,145,2.47,124,2.14,150,2.49,116,2.6,140,768
Turkmenistan,TKM,2.3,2.04,2.57,140,107,158,41.8,2.31,122,2.06,146,2.56,116,2.07,155,2.32,134,2.45,153,795
Iraq,IRQ,2.3,2.05,2.55,141,111,158,41.6,1.98,149,2.18,131,2.31,139,2.15,147,2.31,136,2.85,116,368
Cameroon,CMR,2.3,2.04,2.55,142,110,158,41.5,1.86,156,1.85,154,2.2,147,2.52,104,2.52,111,2.8,120,120
Bhutan,BTN,2.29,1.99,2.59,143,104,158,41.3,2.09,140,2.18,132,2.38,131,2.48,111,2.28,140,2.28,158,64
Haiti,HTI,2.27,2.08,2.46,144,124,156,40.7,2.25,127,2,151,2.27,142,2.14,148,2.32,135,2.63,138,332
Myanmar,MMR,2.25,2.02,2.48,145,122,158,40,1.97,150,2.14,137,2.14,151,2.07,156,2.36,130,2.83,117,104
"Gambia, The",GMB,2.25,2.03,2.47,146,122,158,40,2.06,143,2,149,2.67,101,2.22,138,2,154,2.46,151,270
Mozambique,MOZ,2.23,1.85,2.61,147,103,159,39.4,2.26,126,2.15,135,2.08,154,2.1,153,2.08,152,2.74,134,508
Mauritania,MRT,2.23,1.86,2.6,148,104,159,39.4,1.93,152,2.4,103,2.07,155,2.06,157,2.23,142,2.75,130,478
Kyrgyz Republic,KGZ,2.21,1.95,2.47,149,122,158,38.7,2.03,145,2.05,147,2.43,127,2.13,151,2.2,145,2.36,155,417
Gabon,GAB,2.2,1.95,2.45,150,125,158,38.5,2,148,2.08,142,2.58,112,2.25,135,1.92,157,2.31,157,266
"Yemen, Rep.",YEM,2.18,1.67,2.69,151,91,160,37.9,1.63,159,1.87,153,2.35,134,2.21,141,2.21,144,2.78,124,887
Cuba,CUB,2.18,1.91,2.45,152,126,158,37.8,2.17,136,1.84,155,2.47,123,2.08,154,1.99,156,2.45,152,192
Sudan,SDN,2.16,1.93,2.39,153,132,158,37.2,1.87,155,1.9,152,2.23,144,2.18,144,2.42,125,2.33,156,736
Djibouti,DJI,2.15,1.8,2.5,154,117,159,36.8,2.2,134,2,150,1.8,158,2.21,140,2,155,2.74,132,262
Syrian Arab Republic,SYR,2.09,1.81,2.37,155,134,159,34.9,2.07,142,2.08,144,2.15,150,1.82,159,1.9,158,2.53,145,760
Eritrea,ERI,2.08,1.78,2.39,156,132,159,34.7,1.9,153,1.68,159,1.9,157,2.23,136,2.01,153,2.79,122,232
"Congo, Rep.",COG,2.08,1.83,2.33,157,139,159,34.5,1.5,160,1.83,157,2.17,148,2.17,146,2.17,147,2.58,142,178
Afghanistan,AFG,2.07,1.97,2.16,158,153,158,34.3,2.16,137,1.82,158,1.99,156,2.12,152,1.85,159,2.48,149,4
"Congo, Dem. Rep.",ZAR,1.88,1.6,2.15,159,154,160,28.2,1.78,158,1.83,156,1.7,160,1.84,158,2.1,151,2.04,159,180
Somalia,SOM,1.77,1.32,2.23,160,149,160,24.8,2,147,1.5,160,1.75,159,1.75,160,1.75,160,1.88,160,706
