Country,Code,Overall LPI Score,lower bound score,upper bound score,Overall rank,lower bound rank,upper bound ranks,Highest performer,CustomsScore,CustomsRank,InfrastructureScore,InfrastructureRank,International ShipmentScore,International ShipmentRank,Logistics ServicesScore,Logistics ServicesRank,Ease of TrackingScore,Ease of TrackingRank,TimelinessScore,TimelinessRank
Honduras,HND,2.78,2.69,2.87,70,58,82,57.1,2.39,76,2.31,93,2.67,101,2.57,82,2.83,74,3.83,41
Ecuador,ECU,2.77,2.65,2.90,71,57,88,57.0,2.32,92,2.38,82,2.86,72,2.60,72,2.84,72,3.55,59
Colombia,COL,2.77,2.60,2.95,72,56,94,57.0,2.50,66,2.59,62,2.54,112,2.75,61,2.75,82,3.52,64
"Macedonia, FYR",MKD,2.77,2.62,2.93,73,56,90,56.9,2.55,61,2.55,68,2.83,79,2.76,60,2.82,76,3.10,105
Croatia,HRV,2.77,2.51,3.03,74,51,112,56.8,2.62,57,2.36,87,2.97,62,2.53,87,2.82,75,3.22,91
Indonesia,IDN,2.76,2.60,2.92,75,56,96,56.5,2.43,72,2.54,69,2.82,80,2.47,92,2.77,80,3.46,69
Paraguay,PRY,2.75,2.62,2.89,76,57,91,56.3,2.37,84,2.44,78,2.87,70,2.59,78,2.72,83,3.46,72
Uruguay,URY,2.75,2.62,2.89,77,57,91,56.3,2.71,51,2.58,63,2.77,88,2.59,74,2.78,79,3.06,112
"Bahamas, The",BHS,2.75,2.57,2.92,78,56,104,56.1,2.38,78,2.40,81,2.69,99,2.69,64,2.81,77,3.46,71
Bangladesh,BGD,2.74,2.60,2.88,79,57,94,56.0,2.33,90,2.49,72,2.99,61,2.44,96,2.64,92,3.46,70
Syrian Arab Republic,SYR,2.74,2.56,2.92,80,56,104,55.9,2.37,83,2.45,75,2.87,68,2.59,75,2.63,95,3.45,74
Jordan,JOR,2.74,2.57,2.91,81,56,104,55.8,2.31,93,2.69,55,3.11,49,2.49,90,2.33,133,3.39,78
Mauritius,MUS,2.72,2.34,3.10,82,48,131,55.3,2.71,50,2.29,96,3.24,33,2.43,97,2.57,100,2.91,127
Serbia,SRB,2.69,2.32,3.05,83,50,133,54.1,2.19,108,2.30,95,3.41,18,2.55,84,2.67,88,2.80,137
"Venezuela, RB",VEN,2.68,2.54,2.81,84,67,105,53.9,2.06,133,2.44,76,3.05,56,2.53,85,2.84,73,3.05,116
"Congo, Dem. Rep.",ZAR,2.68,2.19,3.16,85,43,147,53.8,2.60,59,2.27,98,2.56,109,2.93,49,2.43,119,3.20,94
El Salvador,SLV,2.67,2.51,2.84,86,60,112,53.7,2.48,67,2.44,77,2.18,148,2.66,68,2.68,87,3.63,55
Bosnia and Herzegovina,BIH,2.66,2.40,2.93,87,56,125,53.4,2.33,89,2.22,105,3.10,50,2.30,116,2.68,86,3.18,96
Madagascar,MDG,2.66,2.38,2.93,88,56,126,53.2,2.35,87,2.63,60,3.06,53,2.40,102,2.51,109,2.90,128
Azerbaijan,AZE,2.64,2.44,2.84,89,61,120,52.6,2.14,117,2.23,104,3.05,55,2.48,91,2.65,91,3.15,100
Guatemala,GTM,2.63,2.43,2.83,90,64,120,52.4,2.33,91,2.37,84,2.16,150,2.74,62,2.71,84,3.52,61
Kyrgyz Republic,KGZ,2.62,2.38,2.86,91,59,127,52.0,2.44,71,2.09,118,3.18,39,2.37,107,2.33,132,3.10,106
"Egypt, Arab Rep.",EGY,2.61,2.24,2.99,92,52,143,51.8,2.11,122,2.22,106,2.56,110,2.87,54,2.56,101,3.31,81
Georgia,GEO,2.61,2.48,2.75,93,78,115,51.8,2.37,81,2.17,109,2.73,95,2.57,83,2.67,89,3.08,111
Russian Federation,RUS,2.61,2.51,2.71,94,83,112,51.6,2.15,115,2.38,83,2.72,96,2.51,88,2.60,97,3.23,88
Tanzania,TZA,2.60,2.41,2.79,95,68,124,51.4,2.42,74,2.00,129,2.78,85,2.38,105,2.56,103,3.33,80
Togo,TGO,2.60,2.31,2.89,96,57,134,51.4,2.40,75,1.82,142,2.42,126,2.45,94,3.42,35,3.02,118
Guinea,GIN,2.60,2.17,3.02,97,52,147,51.2,2.34,88,2.10,116,2.43,124,2.68,67,2.89,68,3.10,104
Haiti,HTI,2.59,2.38,2.80,98,68,126,51.1,2.12,121,2.17,108,3.17,41,2.46,93,2.43,120,3.02,119
Kenya,KEN,2.59,2.39,2.79,99,68,126,51.0,2.23,103,2.14,113,2.84,75,2.28,122,2.89,69,3.06,113
Nigeria,NGA,2.59,2.40,2.77,100,74,124,51.0,2.17,109,2.43,80,2.84,74,2.45,95,2.45,116,3.10,107
"Yemen, Rep.",YEM,2.58,2.01,3.16,101,43,152,50.8,2.46,69,2.35,88,2.24,142,2.35,110,2.63,94,3.48,68
Ukraine,UKR,2.57,2.26,2.89,102,57,140,50.6,2.02,135,2.44,79,2.79,84,2.59,77,2.49,112,3.06,114
"Iran, Islamic Rep.",IRN,2.57,2.41,2.74,103,80,124,50.5,2.22,106,2.36,86,2.44,121,2.65,69,2.50,110,3.26,85
Moldova,MDA,2.57,2.43,2.71,104,83,120,50.5,2.11,124,2.05,123,2.83,78,2.17,132,3.00,61,3.17,97
Cameroon,CMR,2.55,2.25,2.84,105,59,140,49.7,2.11,123,2.10,115,2.69,100,2.53,86,2.60,98,3.16,99
Niger,NER,2.54,2.26,2.82,106,66,140,49.4,2.06,132,2.28,97,2.66,102,2.42,98,2.45,115,3.28,83
Nicaragua,NIC,2.54,2.33,2.75,107,78,133,49.3,2.24,101,2.23,102,2.63,106,2.31,114,2.51,107,3.21,92
Jamaica,JAM,2.53,2.11,2.96,108,54,147,49.2,2.00,140,2.07,121,2.82,81,2.32,112,3.07,59,2.82,134
C�te d'Ivoire,CIV,2.53,2.28,2.79,109,69,138,49.2,2.16,114,2.37,85,2.44,122,2.57,80,2.95,64,2.73,140
Pakistan,PAK,2.53,2.34,2.72,110,83,131,49.1,2.05,134,2.08,120,2.91,66,2.28,120,2.64,93,3.08,110
